1,5,26,26,5
2,5,1,5,1
3,24,24,24,24
4,5,5,5,5
5,1,1,5,5
7,5,5,1,1
8,1,5,1,5
9,6,6,6,6
10,1,1,1,1
11,26,5,5,26
12,42,42,42,42
13,5,5,1,5
14,1,26,26,1
15,3,5,5,3
18,1,5,1,1
19,5,1,1,5
20,24,24,36,36
21,1,5,5,1
22,22,22,22,22
23,23,23,23,23
24,24,61,61,24
25,3,5,5,5
26,27,27,27,27
28,36,36,36,36
30,5,23,5,23
33,5,23,41,5
34,26,26,26,26
35,1,26,24,1
37,37,37,37,37
38,36,36,1,1
39,3,5,3,3
40,29,29,29,29
41,5,24,1,5
42,24,61,24,61
45,5,1,26,26
46,1,37,1,37
47,24,29,61,24
48,26,5,24,26
49,26,1,26,1
50,21,21,21,21
51,29,24,61,24
54,61,33,33,61
56,24,24,61,24
57,4,4,4,4
58,171,171,171,171
59,61,1,24,61
60,5,5,3,5
61,171,171,171,171
62,181,181,181,181
63,143,143,143,143
67,61,24,4,61
68,61,23,23,61
69,5,4,5,5
81,24,61,36,24
82,61,1,5,61
84,23,5,23,5
86,21,41,41,21
87,181,181,1,1
88,24,28,4,24
92,1,36,24,1
93,1,29,24,1
94,24,21,5,24
95,1,5,24,1
96,5,61,5,5
97,61,36,22,61
99,26,1,5,5
105,61,5,26,61
107,36,61,23,36
109,22,36,1,22
112,21,61,22,21
121,26,1,5,26
124,24,1,24,1
126,24,5,1,24
128,5,24,24,5
129,61,5,1,61
130,26,5,26,5
131,61,24,29,61
138,24,1,26,24
141,141,141,141,141
142,142,142,142,142
143,143,143,143,143
144,5,26,24,5
145,5,24,5,26
146,36,21,61,36
152,64,64,64,64
156,4,24,4,61
160,24,1,5,24
164,5,5,26,5
167,5,24,26,5
170,5,26,26,3
171,171,171,171,171
172,26,36,26,26
175,28,24,1,28
181,181,181,181,181
186,61,61,1,61
188,22,61,4,22
189,24,4,61,24
190,4,61,24,4
195,1,24,36,1
196,24,61,26,24
200,1,21,22,1
201,1,36,61,1
203,4,36,61,4
204,4,1,24,4
209,24,1,61,24
211,53,53,53,53
213,22,21,36,22
214,24,36,1,24
216,23,41,5,23
220,4,5,1,4
221,5,24,36,36
223,26,1,61,26
224,5,5,23,1
225,1,61,36,1
227,5,61,24,5
231,61,21,1,61
233,1,24,1,24
234,1,61,24,1
247,1,1,28,36
254,5,5,24,5
257,4,36,1,4
259,1,61,5,1
260,4,24,4,4
266,61,1,36,61
268,1,61,4,1
278,1,5,26,1
293,21,36,1,21
294,4,4,24,24
297,1,28,36,36
305,24,4,4,4
309,26,24,26,5
312,5,1,26,5
314,24,21,36,24
316,61,61,61,61
322,1,5,5,5
328,24,24,1,24
336,5,24,26,1
352,4,1,36,4
391,3,5,1,3
401,28,24,5,28
421,5,1,1,3
429,24,24,4,5
450,29,61,1,29
462,1,24,24,1
480,1,26,1,26
516,24,24,1,1
519,5,5,26,3
566,6,53,26,6
571,1,1,24,24
573,42,24,1,42
582,61,5,5,61
592,61,1,42,61
612,28,24,61,28
673,61,1,61,61
682,24,24,26,1
687,29,61,24,29
701,24,24,5,5
703,27,24,27,24
707,24,5,42,24
758,26,24,26,24
780,24,61,1,24
941,4,5,4,5
969,23,5,5,23
1051,36,1,5,5
1085,26,26,5,26
1098,3,3,3,3
1107,5,24,24,1
1112,3,5,3,5
1142,31,23,31,23
1161,61,24,24,24
1256,5,1,1,1
1282,61,3,3,61
1365,23,6,23,23
1380,23,31,23,31
1386,23,31,23,23
1405,3,61,1,3
1407,3,3,4,3
1446,5,61,26,5
1500,61,36,1,61
1505,1,1,5,24
1668,21,1,24,21
1778,1,1,1,5
1827,5,1,5,24
1929,5,5,24,1
1932,26,26,26,5
1940,1,24,1,5
2002,6,23,24,1
2029,23,1,5,23
2106,5,5,5,1
2279,1,5,23,1
2335,61,61,61,24
2724,26,5,26,26
2804,5,1,5,5
2996,41,5,23,41
3092,23,23,6,23
3110,23,41,1,5
3200,3,3,3,5
3225,24,4,1,24
3234,3,3,3,61
3414,5,23,1,5
3554,26,61,26,26
3558,21,28,36,21
3646,5,24,5,24
3904,5,36,5,5
4047,5,5,26,26
4123,6,23,23,6
4167,25,24,25,25
4290,28,28,28,28
4580,24,5,26,24
4783,21,42,36,21
4862,24,24,4,4
4888,61,24,61,24
4951,1,1,26,1
4958,24,36,24,24
5442,25,25,25,25
5855,24,61,24,24
6013,41,42,21,41
6219,33,61,24,33
6256,61,24,1,61
6451,61,24,24,61
6461,1,1,5,1
6539,5,5,23,5
6785,42,1,21,42
6854,26,5,1,26
7174,5,23,5,5
7193,61,1,1,61
7320,5,3,5,5
7451,23,42,23,42
7454,5,5,5,61
7476,5,26,5,5
7477,33,24,33,33
7707,1,36,1,1
7773,5,3,5,3
7893,24,24,24,4
8454,26,1,1,26
8733,26,24,26,26
8763,24,5,24,5
8874,5,5,5,3
9867,61,5,61,61
9921,41,21,1,41
